Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
.	YAL064C-A	chrI	-	13252	13363	3.363028	3.407782	9.902968
.	YAL063C	chrI	-	23979	24000	5.318193	5.388966	15.660262
.	YAL062W	chrI	+	32940	32978	2.153846	2.182508	6.342341
.	YAL060W	chrI	+	36303	36436	26.753731	27.109758	78.780594
.	YAL059W	chrI	+	37147	37246	20.580000	20.853870	60.601070
.	YAL058W	chrI	+	38972	39024	12.716981	12.886214	37.447166
.	YAL055W	chrI	+	42719	42807	4.033708	4.087387	11.877892
.	YAL053W	chrI	+	48250	48375	10.182540	10.318046	29.984102
.	YAL047C	chrI	-	54945	54989	1.044444	1.058343	3.075531
.	YAL046C	chrI	-	56912	57029	14.771187	14.967756	43.496101
.	YAL044C	chrI	-	57817	57950	170.373138	172.640396	501.690674
.	YAL044W-A	chrI	+	57850	57893	0.000000	0.000000	0.000000
.	YAL043C	chrI	-	58520	58695	3.664773	3.713542	10.791505
.	YAL042W	chrI	+	62563	62683	25.528925	25.868652	75.173958
.	YAL041W	chrI	+	65404	65674	4.571902	4.655232	13.528044
.	YAL040C	chrI	-	65741	65778	8.315789	8.426453	24.487158
.	YAL039C	chrI	-	68613	68716	44.923077	45.520897	132.283112
.	YAL038W	chrI	+	73288	73862	28.238260	28.614044	83.152031
.	YAL036C	chrI	-	75030	75043	25.000000	25.332689	73.616463
.	YAL035W	chrI	+	79435	79568	65.716415	66.590942	193.512390
.	YAL034W-A	chrI	+	80587	80815	9.864629	9.995904	29.047962
.	YAL033W	chrI	+	83227	83509	21.961130	22.253380	64.668030
.	YAL032C	chrI	-	83286	83335	0.000000	0.000000	0.000000
.	YAL031C	chrI	-	84620	84749	5.238461	5.308172	15.425478
.	YAL028W	chrI	+	94486	94520	0.971429	0.984356	2.860527
.	YAL026C	chrI	-	95461	95630	19.229412	19.485310	56.624050
.	YAL027W	chrI	+	95472	95627	0.000000	0.095849	0.278535
.	YAL025C	chrI	-	99980	100225	39.792683	40.322227	117.175865
.	YAL022C	chrI	-	108815	108877	7.761905	7.865198	22.856159
.	YAL020C	chrI	-	113533	113614	23.914635	24.232882	70.420425
.	YAL017W	chrI	+	124295	124490	6.147959	6.229774	18.103640
.	YAL014C	chrI	-	128072	128252	16.314917	16.532030	48.041859
.	YAL012W	chrI	+	131983	132089	243.149536	246.385269	715.992310
.	YAL009W	chrI	+	136633	136888	10.316406	10.453692	30.378292
.	YAL008W	chrI	+	137510	137666	81.974525	83.065414	241.386978
.	tP(UGG)A	chrI	+	139254	139319	1.000000	1.013308	2.944659
.	YAL005C	chrI	-	139329	139503	1076.096802	1090.417114	3168.737305
.	snR18	chrI	+	142468	142620	24.522877	24.849218	72.211494
.	YAL003W	chrI	+	143160	143229	120.057144	121.654816	353.527283
.	YAL001C	chrI	-	147516	147594	5.746835	5.823313	16.922468
.	YAR002W	chrI	+	153876	153891	118.375000	119.950287	348.573944
.	YAR002C-A	chrI	-	154040	154065	102.230766	103.591217	301.034698
.	YAR007C	chrI	-	156534	156754	10.416289	10.554906	30.672413
.	YAR008W	chrI	+	159793	159968	7.119318	7.214059	20.963959
.	YAR009C	chrI	-	160534	160597	34.392578	34.850262	101.274399
.	tA(UGC)A	chrI	+	166339	166358	1.850000	1.874619	5.447618
.	YAR014C	chrI	-	166723	166742	36.700001	37.188389	108.068962
.	YAR015W	chrI	+	170295	171420	17.313499	17.543900	50.982342
.	YAR020C	chrI	-	176799	176856	3.663793	3.712549	10.788619
.	YAR027W	chrI	+	184477	184507	120.580643	122.185287	355.068787
.	YAR028W	chrI	+	185596	185643	27.083334	27.443747	79.751160
.	YAR031W	chrI	+	187732	188102	20.466307	20.738665	60.266281
.	YAR035C-A	chrI	-	192276	192337	4.080645	4.134949	12.016106
.	YAR066W	chrI	+	221660	223129	11.140263	11.288513	32.804268
.	YAR068W	chrI	+	222891	222916	4.019230	4.072717	11.835261
.	YAR071W	chrI	+	226863	226910	5.416666	5.488750	15.950234
.	YBL113C	chrII	-	236	280	5.515556	5.588954	16.241428
.	YBL112C	chrII	-	2561	2582	8.027344	8.134169	23.637787
.	YBL108C-A	chrII	-	7587	7605	1.184211	1.199970	3.487097
.	tL(UAA)B1	chrII	+	9666	9690	0.960000	0.972775	2.826872
.	YBL107C	chrII	-	9789	9961	26.335260	26.685720	77.548347
.	YBL104C	chrII	-	18155	18177	2.043478	2.070672	6.017344
.	YBL103C	chrII	-	21658	22076	20.630072	20.904608	60.748516
.	YBL102W	chrII	+	24745	24814	34.742859	35.205200	102.305855
.	YBL100W-C	chrII	+	28546	28723	2.651685	2.686973	7.808307
.	YBL100W-B	chrII	+	35248	35436	15.424603	15.629868	45.420185
.	YBR297W	chrII	+	801929	801991	10.619047	10.760361	31.269466
.	YBR298C	chrII	-	802574	802631	2.103448	2.131440	6.193936
.	YBR276C	chrII	-	757531	757620	3.922222	3.974417	11.549604
.	YBR279W	chrII	+	762594	762653	40.933334	41.478058	120.534691
.	YBR280C	chrII	-	762768	762784	16.058823	16.272528	47.287746
.	YBR282W	chrII	+	768680	768882	18.669950	18.918404	54.976624
.	YBR284W	chrII	+	773632	773646	8.866667	8.984660	26.109306
.	YBR285W	chrII	+	774356	774366	6.909091	7.001034	20.344913
.	YBR286W	chrII	+	776313	776612	12.843333	13.014248	37.819229
.	YBR287W	chrII	+	777854	777888	5.628572	5.703475	16.574223
.	YBR289W	chrII	+	782384	782435	14.192307	14.381173	41.791496
.	YBR290W	chrII	+	783556	783930	21.106667	21.387547	62.151920
.	YBR291C	chrII	-	783659	783673	0.000000	0.000000	0.000000
.	YBR293W	chrII	+	788430	788579	19.753334	20.016205	58.166821
.	YBR295W	chrII	+	796499	796634	2.441176	2.473662	7.188429
.	YCL066W	chrIII	+	13809	13950	7.187788	7.283440	21.165581
.	YCL067C	chrIII	-	12202	12386	5.363025	5.434394	15.792276
.	YCL064C	chrIII	-	15786	15798	80.307693	81.376396	236.478729
.	YCL059C	chrIII	-	22304	22429	40.214287	40.749443	118.417343
.	YCL058W-A	chrIII	+	23925	23935	43.385246	178.710632	519.330688
